Station,On,off,Onboard,Direction,Traincode
22nd Street,0,3,30,N,199
San Francisco,24,0,24,S,102
22nd Street,5,0,29,S,102
Bayshore,5,0,33,S,102
South San Francisco,1,1,34,S,102
San Bruno,3,0,37,S,102
Millbrae,9,1,44,S,102
Broadway,0,0,44,S,102
Burlingame,4,0,48,S,102
San Mateo,5,1,52,S,102
Hayward Park,3,1,54,S,102
Hillsdale,9,2,60,S,102
Belmont,6,1,65,S,102
San Carlos,4,2,67,S,102
Redwood City,14,9,72,S,102
Atherton,0,0,72,S,102
Menlo Park,2,4,70,S,102
Palo Alto,1,29,42,S,102
California Avenue,0,3,39,S,102
San Antonio,0,4,36,S,102
Mountain View,3,13,26,S,102
Sunnyvale,0,5,21,S,102
Lawrence,2,3,19,S,102
Santa Clara,0,2,17,S,102
College Park,0,0,17,S,102
San Jose Diridon,0,17,0,S,102
Tamien,0,0,0,S,102
Capitol,0,0,0,S,102
Blossom Hill,0,0,0,S,102
Morgan Hill,0,0,0,S,102
San Martin,0,0,0,S,102
Gilroy,0,0,0,S,102
San Francisco,21,0,21,S,104
22nd Street,14,0,34,S,104
Bayshore,5,0,39,S,104
South San Francisco,4,1,42,S,104
San Bruno,10,1,51,S,104
Millbrae,12,2,61,S,104
Broadway,0,0,61,S,104
Burlingame,4,2,64,S,104
San Mateo,15,2,77,S,104
Hayward Park,9,1,85,S,104
Hillsdale,6,2,89,S,104
Belmont,5,1,93,S,104
San Carlos,7,1,99,S,104
Redwood City,11,6,104,S,104
Atherton,0,0,104,S,104
Menlo Park,4,6,102,S,104
Palo Alto,3,60,45,S,104
California Avenue,2,5,43,S,104
San Antonio,2,7,38,S,104
Mountain View,1,11,29,S,104
Sunnyvale,1,7,22,S,104
Lawrence,1,5,19,S,104
Santa Clara,0,5,14,S,104
College Park,0,0,14,S,104
San Jose Diridon,0,12,2,S,104
Tamien,0,2,0,S,104
Capitol,0,0,0,S,104
Blossom Hill,0,0,0,S,104
Morgan Hill,0,0,0,S,104
San Martin,0,0,0,S,104
Gilroy,0,0,0,S,104
San Francisco,78,0,78,S,206
22nd Street,44,0,122,S,206
Bayshore,0,0,122,S,206
South San Francisco,0,0,122,S,206
San Bruno,0,0,122,S,206
Millbrae,51,1,172,S,206
Broadway,0,0,172,S,206
Burlingame,21,3,189,S,206
San Mateo,31,7,213,S,206
Hayward Park,0,0,213,S,206
Hillsdale,33,11,236,S,206
Belmont,0,0,236,S,206
San Carlos,16,11,241,S,206
Redwood City,25,36,230,S,206
Atherton,0,0,230,S,206
Menlo Park,9,21,218,S,206
Palo Alto,6,104,120,S,206
California Avenue,6,22,104,S,206
San Antonio,0,0,104,S,206
Mountain View,10,52,62,S,206
Sunnyvale,0,0,62,S,206
Lawrence,7,24,45,S,206
Santa Clara,0,0,45,S,206
College Park,0,0,45,S,206
San Jose Diridon,0,45,0,S,206
Tamien,0,0,0,S,206
Capitol,0,0,0,S,206
Blossom Hill,0,0,0,S,206
Morgan Hill,0,0,0,S,206
San Martin,0,0,0,S,206
Gilroy,0,0,0,S,206
San Francisco,28,0,28,S,208
22nd Street,11,0,39,S,208
Bayshore,15,3,52,S,208
South San Francisco,9,6,55,S,208
San Bruno,19,1,73,S,208
Millbrae,43,4,112,S,208
Broadway,0,0,112,S,208
Burlingame,18,4,126,S,208
San Mateo,20,2,145,S,208
Hayward Park,17,11,151,S,208
Hillsdale,27,8,170,S,208
Belmont,26,7,189,S,208
San Carlos,22,11,200,S,208
Redwood City,26,30,196,S,208
Atherton,0,0,196,S,208
Menlo Park,0,0,196,S,208
Palo Alto,7,129,74,S,208
California Avenue,0,0,74,S,208
San Antonio,0,0,74,S,208
Mountain View,0,0,74,S,208
Sunnyvale,0,0,74,S,208
Lawrence,0,0,74,S,208
Santa Clara,2,31,45,S,208
College Park,0,0,45,S,208
San Jose Diridon,0,45,0,S,208
Tamien,0,0,0,S,208
Capitol,0,0,0,S,208
Blossom Hill,0,0,0,S,208
Morgan Hill,0,0,0,S,208
San Martin,0,0,0,S,208
Gilroy,0,0,0,S,208
San Francisco,101,0,101,S,310
22nd Street,68,0,169,S,310
Bayshore,0,0,169,S,310
South San Francisco,0,0,169,S,310
San Bruno,0,0,169,S,310
Millbrae,75,3,241,S,310
Broadway,0,0,241,S,310
Burlingame,0,0,241,S,310
San Mateo,0,0,241,S,310
Hayward Park,0,0,241,S,310
Hillsdale,0,0,241,S,310
Belmont,0,0,241,S,310
San Carlos,0,0,241,S,310
Redwood City,23,40,223,S,310
Atherton,0,0,223,S,310
Menlo Park,22,17,228,S,310
Palo Alto,24,99,153,S,310
California Avenue,0,0,153,S,310
San Antonio,0,0,153,S,310
Mountain View,7,110,50,S,310
Sunnyvale,0,0,50,S,310
Lawrence,0,0,50,S,310
Santa Clara,0,0,50,S,310
College Park,0,0,50,S,310
San Jose Diridon,0,49,1,S,310
Tamien,0,1,0,S,310
Capitol,0,0,0,S,310
Blossom Hill,0,0,0,S,310
Morgan Hill,0,0,0,S,310
San Martin,0,0,0,S,310
Gilroy,0,0,0,S,310
San Francisco,118,0,118,S,212
22nd Street,68,0,186,S,212
Bayshore,0,0,186,S,212
South San Francisco,0,0,186,S,212
San Bruno,0,0,186,S,212
Millbrae,68,2,252,S,212
Broadway,0,0,252,S,212
Burlingame,0,0,252,S,212
San Mateo,123,14,361,S,212
Hayward Park,0,0,361,S,212
Hillsdale,0,0,361,S,212
Belmont,0,0,361,S,212
San Carlos,43,24,381,S,212
Redwood City,46,38,389,S,212
Atherton,0,0,389,S,212
Menlo Park,32,58,363,S,212
Palo Alto,19,108,274,S,212
California Avenue,16,48,243,S,212
San Antonio,15,48,210,S,212
Mountain View,19,59,169,S,212
Sunnyvale,18,48,139,S,212
Lawrence,5,26,118,S,212
Santa Clara,0,15,103,S,212
College Park,0,90,13,S,212
San Jose Diridon,0,13,0,S,212
Tamien,0,0,0,S,212
Capitol,0,0,0,S,212
Blossom Hill,0,0,0,S,212
Morgan Hill,0,0,0,S,212
San Martin,0,0,0,S,212
Gilroy,0,0,0,S,212
San Francisco,293,0,293,S,314
22nd Street,124,2,415,S,314
Bayshore,0,0,415,S,314
South San Francisco,0,0,415,S,314
San Bruno,0,0,415,S,314
Millbrae,133,7,542,S,314
Broadway,0,0,542,S,314
Burlingame,0,0,542,S,314
San Mateo,0,0,542,S,314
Hayward Park,0,0,542,S,314
Hillsdale,84,52,574,S,314
Belmont,0,0,574,S,314
San Carlos,0,0,574,S,314
Redwood City,55,120,509,S,314
Atherton,0,0,509,S,314
Menlo Park,0,0,509,S,314
Palo Alto,3,269,243,S,314
California Avenue,0,0,243,S,314
San Antonio,0,0,243,S,314
Mountain View,8,153,98,S,314
Sunnyvale,0,0,98,S,314
Lawrence,0,0,98,S,314
Santa Clara,0,0,98,S,314
College Park,0,0,98,S,314
San Jose Diridon,0,98,0,S,314
Tamien,0,0,0,S,314
Capitol,0,0,0,S,314
Blossom Hill,0,0,0,S,314
Morgan Hill,0,0,0,S,314
San Martin,0,0,0,S,314
Gilroy,0,0,0,S,314
San Francisco,115,0,115,S,216
22nd Street,73,0,187,S,216
Bayshore,0,0,187,S,216
South San Francisco,0,0,187,S,216
San Bruno,62,4,246,S,216
Millbrae,0,0,246,S,216
Broadway,0,0,246,S,216
Burlingame,63,5,304,S,216
San Mateo,95,10,388,S,216
Hayward Park,0,0,388,S,216
Hillsdale,73,22,440,S,216
Belmont,0,0,440,S,216
San Carlos,36,31,444,S,216
Redwood City,0,0,444,S,216
Atherton,0,0,444,S,216
Menlo Park,15,91,369,S,216
Palo Alto,13,148,233,S,216
California Avenue,0,0,233,S,216
San Antonio,0,0,233,S,216
Mountain View,7,106,134,S,216
Sunnyvale,0,0,134,S,216
Lawrence,2,93,44,S,216
Santa Clara,0,0,44,S,216
College Park,0,0,44,S,216
San Jose Diridon,0,44,0,S,216
Tamien,0,0,0,S,216
Capitol,0,0,0,S,216
Blossom Hill,0,0,0,S,216
Morgan Hill,0,0,0,S,216
San Martin,0,0,0,S,216
Gilroy,0,0,0,S,216
San Francisco,77,0,77,S,218
22nd Street,28,4,101,S,218
Bayshore,36,2,135,S,218
South San Francisco,18,9,144,S,218
San Bruno,34,3,174,S,218
Millbrae,119,2,291,S,218
Broadway,0,0,291,S,218
Burlingame,71,14,348,S,218
San Mateo,46,18,376,S,218
Hayward Park,23,24,375,S,218
Hillsdale,51,29,397,S,218
Belmont,43,69,370,S,218
San Carlos,33,13,390,S,218
Redwood City,42,107,325,S,218
Atherton,0,0,325,S,218
Menlo Park,0,0,325,S,218
Palo Alto,17,243,99,S,218
California Avenue,0,0,99,S,218
San Antonio,0,0,99,S,218
Mountain View,0,0,99,S,218
Sunnyvale,0,0,99,S,218
Lawrence,0,0,99,S,218
Santa Clara,1,38,63,S,218
College Park,0,0,63,S,218
San Jose Diridon,0,63,0,S,218
Tamien,0,0,0,S,218
Capitol,0,0,0,S,218
Blossom Hill,0,0,0,S,218
Morgan Hill,0,0,0,S,218
San Martin,0,0,0,S,218
Gilroy,0,0,0,S,218
San Francisco,352,0,352,S,320
22nd Street,135,1,487,S,320
Bayshore,0,0,487,S,320
South San Francisco,0,0,487,S,320
San Bruno,0,0,487,S,320
Millbrae,92,12,567,S,320
Broadway,0,0,567,S,320
Burlingame,0,0,567,S,320
San Mateo,0,0,567,S,320
Hayward Park,0,0,567,S,320
Hillsdale,0,0,567,S,320
Belmont,0,0,567,S,320
San Carlos,0,0,567,S,320
Redwood City,73,117,522,S,320
Atherton,0,0,522,S,320
Menlo Park,15,60,478,S,320
Palo Alto,40,179,339,S,320
California Avenue,0,0,339,S,320
San Antonio,0,0,339,S,320
Mountain View,9,273,75,S,320
Sunnyvale,0,0,75,S,320
Lawrence,0,0,75,S,320
Santa Clara,0,0,75,S,320
College Park,0,0,75,S,320
San Jose Diridon,1,68,7,S,320
Tamien,0,7,0,S,320
Capitol,0,0,0,S,320
Blossom Hill,0,0,0,S,320
Morgan Hill,0,0,0,S,320
San Martin,0,0,0,S,320
Gilroy,0,0,0,S,320
San Francisco,281,0,281,S,222
22nd Street,134,0,414,S,222
Bayshore,0,0,414,S,222
South San Francisco,0,0,414,S,222
San Bruno,0,0,414,S,222
Millbrae,101,5,510,S,222
Broadway,0,0,510,S,222
Burlingame,0,0,510,S,222
San Mateo,118,36,592,S,222
Hayward Park,0,0,592,S,222
Hillsdale,0,0,592,S,222
Belmont,0,0,592,S,222
San Carlos,52,46,598,S,222
Redwood City,45,75,569,S,222
Atherton,0,0,569,S,222
Menlo Park,13,32,550,S,222
Palo Alto,29,162,417,S,222
California Avenue,13,122,308,S,222
San Antonio,20,93,235,S,222
Mountain View,4,88,151,S,222
Sunnyvale,7,75,83,S,222
Lawrence,3,50,36,S,222
Santa Clara,2,20,18,S,222
College Park,0,0,18,S,222
San Jose Diridon,0,18,0,S,222
Tamien,0,0,0,S,222
Capitol,0,0,0,S,222
Blossom Hill,0,0,0,S,222
Morgan Hill,0,0,0,S,222
San Martin,0,0,0,S,222
Gilroy,0,0,0,S,222
San Francisco,456,0,456,S,324
22nd Street,196,3,649,S,324
Bayshore,0,0,649,S,324
South San Francisco,0,0,649,S,324
San Bruno,0,0,649,S,324
Millbrae,139,7,781,S,324
Broadway,0,0,781,S,324
Burlingame,0,0,781,S,324
San Mateo,0,0,781,S,324
Hayward Park,0,0,781,S,324
Hillsdale,84,103,761,S,324
Belmont,0,0,761,S,324
San Carlos,0,0,761,S,324
Redwood City,55,174,643,S,324
Atherton,0,0,643,S,324
Menlo Park,0,0,643,S,324
Palo Alto,8,351,300,S,324
California Avenue,0,0,300,S,324
San Antonio,0,0,300,S,324
Mountain View,6,239,66,S,324
Sunnyvale,0,0,66,S,324
Lawrence,0,0,66,S,324
Santa Clara,0,0,66,S,324
College Park,0,0,66,S,324
San Jose Diridon,0,66,0,S,324
Tamien,0,0,0,S,324
Capitol,0,0,0,S,324
Blossom Hill,0,0,0,S,324
Morgan Hill,0,0,0,S,324
San Martin,0,0,0,S,324
Gilroy,0,0,0,S,324
San Francisco,172,0,172,S,226
22nd Street,120,1,292,S,226
Bayshore,0,0,292,S,226
South San Francisco,0,0,292,S,226
San Bruno,55,6,341,S,226
Millbrae,0,0,341,S,226
Broadway,0,0,341,S,226
Burlingame,69,16,394,S,226
San Mateo,71,31,434,S,226
Hayward Park,0,0,434,S,226
Hillsdale,60,42,452,S,226
Belmont,0,0,452,S,226
San Carlos,41,27,465,S,226
Redwood City,0,0,465,S,226
Atherton,0,0,465,S,226
Menlo Park,23,75,413,S,226
Palo Alto,37,171,280,S,226
California Avenue,0,0,280,S,226
San Antonio,0,0,280,S,226
Mountain View,5,164,121,S,226
Sunnyvale,0,0,121,S,226
Lawrence,2,84,39,S,226
Santa Clara,0,0,39,S,226
College Park,0,0,39,S,226
San Jose Diridon,0,39,0,S,226
Tamien,0,0,0,S,226
Capitol,0,0,0,S,226
Blossom Hill,0,0,0,S,226
Morgan Hill,0,0,0,S,226
San Martin,0,0,0,S,226
Gilroy,0,0,0,S,226
San Francisco,167,0,167,S,228
22nd Street,67,5,229,S,228
Bayshore,39,3,264,S,228
South San Francisco,11,32,244,S,228
San Bruno,31,12,262,S,228
Millbrae,60,4,318,S,228
Broadway,0,0,318,S,228
Burlingame,40,14,345,S,228
San Mateo,44,24,365,S,228
Hayward Park,24,41,348,S,228
Hillsdale,43,25,366,S,228
Belmont,42,15,393,S,228
San Carlos,23,28,387,S,228
Redwood City,35,113,310,S,228
Atherton,0,0,310,S,228
Menlo Park,0,0,310,S,228
Palo Alto,7,244,73,S,228
California Avenue,0,0,73,S,228
San Antonio,0,0,73,S,228
Mountain View,0,0,73,S,228
Sunnyvale,0,0,73,S,228
Lawrence,0,0,73,S,228
Santa Clara,1,34,40,S,228
College Park,0,0,40,S,228
San Jose Diridon,0,40,0,S,228
Tamien,0,0,0,S,228
Capitol,0,0,0,S,228
Blossom Hill,0,0,0,S,228
Morgan Hill,0,0,0,S,228
San Martin,0,0,0,S,228
Gilroy,0,0,0,S,228
San Francisco,477,0,477,S,330
22nd Street,158,2,632,S,330
Bayshore,0,0,632,S,330
South San Francisco,0,0,632,S,330
San Bruno,0,0,632,S,330
Millbrae,104,13,724,S,330
Broadway,0,0,724,S,330
Burlingame,0,0,724,S,330
San Mateo,0,0,724,S,330
Hayward Park,0,0,724,S,330
Hillsdale,0,0,724,S,330
Belmont,0,0,724,S,330
San Carlos,0,0,724,S,330
Redwood City,30,160,593,S,330
Atherton,0,0,593,S,330
Menlo Park,19,49,563,S,330
Palo Alto,39,258,344,S,330
California Avenue,0,0,344,S,330
San Antonio,0,0,344,S,330
Mountain View,4,290,58,S,330
Sunnyvale,0,0,58,S,330
Lawrence,0,0,58,S,330
Santa Clara,0,0,58,S,330
College Park,0,0,58,S,330
San Jose Diridon,1,54,4,S,330
Tamien,0,4,0,S,330
Capitol,0,0,0,S,330
Blossom Hill,0,0,0,S,330
Morgan Hill,0,0,0,S,330
San Martin,0,0,0,S,330
Gilroy,0,0,0,S,330
San Francisco,369,0,369,S,232
22nd Street,163,0,531,S,232
Bayshore,0,0,531,S,232
South San Francisco,0,0,531,S,232
San Bruno,0,0,531,S,232
Millbrae,79,7,604,S,232
Broadway,0,0,604,S,232
Burlingame,0,0,604,S,232
San Mateo,65,68,601,S,232
Hayward Park,0,0,601,S,232
Hillsdale,40,62,580,S,232
Belmont,0,0,580,S,232
San Carlos,20,37,562,S,232
Redwood City,33,112,484,S,232
Atherton,0,0,484,S,232
Menlo Park,9,32,460,S,232
Palo Alto,16,158,318,S,232
California Avenue,6,84,240,S,232
San Antonio,8,54,194,S,232
Mountain View,6,81,119,S,232
Sunnyvale,3,65,57,S,232
Lawrence,2,16,43,S,232
Santa Clara,2,18,27,S,232
College Park,0,0,27,S,232
San Jose Diridon,0,27,0,S,232
Tamien,0,0,0,S,232
Capitol,0,0,0,S,232
Blossom Hill,0,0,0,S,232
Morgan Hill,0,0,0,S,232
San Martin,0,0,0,S,232
Gilroy,0,0,0,S,232
San Francisco,208,0,208,S,134
22nd Street,100,3,305,S,134
Bayshore,22,1,326,S,134
South San Francisco,8,16,318,S,134
San Bruno,21,7,332,S,134
Millbrae,73,7,397,S,134
Broadway,0,0,397,S,134
Burlingame,27,13,411,S,134
San Mateo,34,32,414,S,134
Hayward Park,12,31,394,S,134
Hillsdale,23,40,378,S,134
Belmont,14,9,383,S,134
San Carlos,17,13,387,S,134
Redwood City,32,87,331,S,134
Atherton,0,0,331,S,134
Menlo Park,11,19,323,S,134
Palo Alto,9,147,185,S,134
California Avenue,6,48,144,S,134
San Antonio,2,16,130,S,134
Mountain View,3,62,71,S,134
Sunnyvale,1,29,43,S,134
Lawrence,1,11,32,S,134
Santa Clara,0,9,23,S,134
College Park,0,0,23,S,134
San Jose Diridon,0,23,0,S,134
Tamien,0,0,0,S,134
Capitol,0,0,0,S,134
Blossom Hill,0,0,0,S,134
Morgan Hill,0,0,0,S,134
San Martin,0,0,0,S,134
Gilroy,0,0,0,S,134
San Francisco,252,0,252,S,236
22nd Street,0,0,252,S,236
Bayshore,0,0,252,S,236
South San Francisco,0,0,252,S,236
San Bruno,13,2,263,S,236
Millbrae,74,3,334,S,236
Broadway,0,0,334,S,236
Burlingame,10,16,328,S,236
San Mateo,24,26,325,S,236
Hayward Park,0,0,325,S,236
Hillsdale,16,26,316,S,236
Belmont,5,9,312,S,236
San Carlos,9,10,311,S,236
Redwood City,22,72,261,S,236
Atherton,0,0,261,S,236
Menlo Park,7,21,247,S,236
Palo Alto,10,108,149,S,236
California Avenue,4,33,121,S,236
San Antonio,3,15,109,S,236
Mountain View,4,47,66,S,236
Sunnyvale,3,13,56,S,236
Lawrence,3,13,46,S,236
Santa Clara,2,11,37,S,236
College Park,0,0,37,S,236
San Jose Diridon,3,35,4,S,236
Tamien,0,4,0,S,236
Capitol,0,0,0,S,236
Blossom Hill,0,0,0,S,236
Morgan Hill,0,0,0,S,236
San Martin,0,0,0,S,236
Gilroy,0,0,0,S,236
San Francisco,123,0,123,S,138
22nd Street,53,1,176,S,138
Bayshore,11,2,185,S,138
South San Francisco,3,6,182,S,138
San Bruno,6,2,186,S,138
Millbrae,47,3,230,S,138
Broadway,0,0,230,S,138
Burlingame,7,9,228,S,138
San Mateo,15,20,223,S,138
Hayward Park,7,13,217,S,138
Hillsdale,17,13,220,S,138
Belmont,7,6,221,S,138
San Carlos,7,8,220,S,138
Redwood City,16,35,201,S,138
Atherton,0,0,201,S,138
Menlo Park,7,11,197,S,138
Palo Alto,10,97,110,S,138
California Avenue,4,14,99,S,138
San Antonio,2,12,90,S,138
Mountain View,4,33,61,S,138
Sunnyvale,2,12,51,S,138
Lawrence,1,9,42,S,138
Santa Clara,0,8,34,S,138
College Park,0,0,34,S,138
San Jose Diridon,0,34,0,S,138
Tamien,0,0,0,S,138
Capitol,0,0,0,S,138
Blossom Hill,0,0,0,S,138
Morgan Hill,0,0,0,S,138
San Martin,0,0,0,S,138
Gilroy,0,0,0,S,138
San Francisco,138,0,138,S,142
22nd Street,30,0,167,S,142
Bayshore,6,1,173,S,142
South San Francisco,4,3,174,S,142
San Bruno,10,2,182,S,142
Millbrae,50,4,228,S,142
Broadway,0,0,228,S,142
Burlingame,8,5,231,S,142
San Mateo,18,13,237,S,142
Hayward Park,5,8,234,S,142
Hillsdale,11,15,230,S,142
Belmont,6,8,228,S,142
San Carlos,9,8,229,S,142
Redwood City,27,35,221,S,142
Atherton,0,0,221,S,142
Menlo Park,11,18,214,S,142
Palo Alto,26,73,167,S,142
California Avenue,7,19,155,S,142
San Antonio,2,9,148,S,142
Mountain View,11,37,122,S,142
Sunnyvale,4,30,96,S,142
Lawrence,3,7,92,S,142
Santa Clara,1,17,76,S,142
College Park,0,0,76,S,142
San Jose Diridon,0,76,0,S,142
Tamien,0,0,0,S,142
Capitol,0,0,0,S,142
Blossom Hill,0,0,0,S,142
Morgan Hill,0,0,0,S,142
San Martin,0,0,0,S,142
Gilroy,0,0,0,S,142
San Francisco,149,0,149,S,146
22nd Street,19,1,167,S,146
Bayshore,8,1,174,S,146
South San Francisco,5,3,176,S,146
San Bruno,15,7,184,S,146
Millbrae,59,8,235,S,146
Broadway,0,0,235,S,146
Burlingame,10,8,237,S,146
San Mateo,13,19,232,S,146
Hayward Park,3,7,228,S,146
Hillsdale,11,12,226,S,146
Belmont,7,8,226,S,146
San Carlos,7,12,221,S,146
Redwood City,15,35,202,S,146
Atherton,0,0,202,S,146
Menlo Park,7,18,191,S,146
Palo Alto,23,65,149,S,146
California Avenue,6,21,134,S,146
San Antonio,2,6,130,S,146
Mountain View,11,30,111,S,146
Sunnyvale,1,31,81,S,146
Lawrence,2,8,75,S,146
Santa Clara,0,11,64,S,146
College Park,0,0,64,S,146
San Jose Diridon,0,64,0,S,146
Tamien,0,0,0,S,146
Capitol,0,0,0,S,146
Blossom Hill,0,0,0,S,146
Morgan Hill,0,0,0,S,146
San Martin,0,0,0,S,146
Gilroy,0,0,0,S,146
San Francisco,164,0,164,S,150
22nd Street,12,4,172,S,150
Bayshore,8,1,180,S,150
South San Francisco,7,1,185,S,150
San Bruno,7,4,188,S,150
Millbrae,46,6,228,S,150
Broadway,0,0,228,S,150
Burlingame,15,9,234,S,150
San Mateo,11,22,223,S,150
Hayward Park,9,4,228,S,150
Hillsdale,13,15,227,S,150
Belmont,8,4,230,S,150
San Carlos,7,9,229,S,150
Redwood City,22,40,211,S,150
Atherton,0,0,211,S,150
Menlo Park,8,15,204,S,150
Palo Alto,34,51,188,S,150
California Avenue,8,15,181,S,150
San Antonio,3,17,167,S,150
Mountain View,10,42,136,S,150
Sunnyvale,3,33,106,S,150
Lawrence,2,5,103,S,150
Santa Clara,2,23,82,S,150
College Park,0,0,82,S,150
San Jose Diridon,0,82,0,S,150
Tamien,0,0,0,S,150
Capitol,0,0,0,S,150
Blossom Hill,0,0,0,S,150
Morgan Hill,0,0,0,S,150
San Martin,0,0,0,S,150
Gilroy,0,0,0,S,150
San Francisco,152,0,152,S,152
22nd Street,13,1,163,S,152
Bayshore,4,0,167,S,152
South San Francisco,9,3,173,S,152
San Bruno,9,5,177,S,152
Millbrae,48,6,219,S,152
Broadway,0,0,219,S,152
Burlingame,16,8,226,S,152
San Mateo,10,13,223,S,152
Hayward Park,10,8,225,S,152
Hillsdale,17,16,226,S,152
Belmont,8,13,221,S,152
San Carlos,8,12,217,S,152
Redwood City,26,29,213,S,152
Atherton,0,0,213,S,152
Menlo Park,22,12,223,S,152
Palo Alto,63,42,244,S,152
California Avenue,16,18,242,S,152
San Antonio,9,17,234,S,152
Mountain View,15,38,211,S,152
Sunnyvale,9,42,177,S,152
Lawrence,4,11,171,S,152
Santa Clara,2,47,125,S,152
College Park,0,0,125,S,152
San Jose Diridon,0,125,0,S,152
Tamien,0,0,0,S,152
Capitol,0,0,0,S,152
Blossom Hill,0,0,0,S,152
Morgan Hill,0,0,0,S,152
San Martin,0,0,0,S,152
Gilroy,0,0,0,S,152
San Francisco,223,0,223,S,254
22nd Street,0,0,223,S,254
Bayshore,0,0,223,S,254
